,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2,unit_id
32,0.79175687,"Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.","Makers van vaccins redden de mens, niet de belegger; Cor de Horde Wie farmaceut zegt, zegt overwinsten althans, in sommige kringen. Gewapend met een betonnen octrooiwetgeving kunnen pillendraaiers vragen wat ze willen voor levensreddende medicijnen, is de teneur van de critici. Inderdaad zijn er voorbeelden die het imago van de branche geen goed hebben gedaan. Het sappigste verhaal is van Martin Shkreli, die in 2015 zijn Turing Pharmaceuticals de productierechten liet kopen van het medicijn Daraprim. Prompt ging de prijs van $ 13,50 naar $ 750 per pil. Deze actie leverde Shkreli inmiddels gedetineerd, trouwens de bijnaam meest gehate man van Amerika op. In deze tijden van pandemie zijn de kritische volgers van deze bedrijfstak opnieuw alert. Er gaan al stemmen op om het patent op de diverse vaccins tegen het coronavirus opzij te schuiven. GroenLinks breekt een lans voor dwanglicenties, waaronder de fabrikanten verplicht zijn hun kennis te delen met concurrenten. De fabrikanten met patenten misbruiken hun positie om extra winst te boeken, is de redenering. GroenLinks is niet de enige die kritisch is. Afgelopen week werden de bazen van de grote vaccinfabrikanten stevig aan de tand gevoeld in het Europees Parlement.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,De Telegraaf,Het Financieele Dagblad,3286364,3290618,"Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","Makers van vaccins redden de mens, Cor de Horde, Martin Shkreli, GroenLinks, GroenLinks, Europees Parlement","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']","['farmaceut', 'dwanglicenties', 'pharmaceuticals', 'vaccinfabrikanten', 'gedetineerd']",3286364_3290618
41,0.7779468,"Naast groen en digitaal wil Brussel ook sociaal zijn; Sinds de Europese Commissie onder leiding van Ursula von der Leyen in december 2019 van start ging, horen we bijna wekelijks over groene plannen, digitale transformatie en de mate waarin de EU zichzelf kan bedruipen op het wereldtoneel, oftewel strategische autonomie. Het zijn de drie pijlers waar bijna alle initiatieven van Brussel bij onder te schuiven zijn. Volksgezondheid is er door de coronacrisis natuurlijk bijgekomen. En er is er nog eentje en die staat komende week centraal sociaal beleid. Woensdag presenteert Eurocommissaris Nicolas Schmit banen en sociale rechten een actieplan voor de implementatie van de Europese pijler voor sociale rechten die alweer uit 2017 dateert. Die pijler bevat twintig beginselen die lopen van toegang tot onderwijs naar toegang tot sociale woningen, gepaste opvang van daklozen en eerlijk loon. Het actieplan wordt door velen in Brussel gezien als een noodzaak. Er is groeiende ongelijkheid in de samenleving. Door de opmars van de platformwerkers is er steeds minder baanzekerheid en de kosten voor huisvesting rijzen de pan uit en worden voor steeds meer mensen ondraaglijk. Denk anders nog maar eens aan de afloop van het Britse brexitreferendum.","Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.",high,2021-02-28 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,Trouw,3290688,3285316,"Europese Commissie, Ursula von der Leyen, Eurocommissaris Nicolas Schmit","Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","['brexitreferendum', 'baanzekerheid', 'europese', 'wereldtoneel', 'brussel']","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']",3290688_3285316
42,0.77434814,"Precies een jaar sinds de eerste positieve test: zo begon de crisis; Nederland leeft zaterdag al precies een jaar met het coronavirus . Op 27 februari 2020 maakt toenmalig minister Bruno Bruins Medische Zorg bekend dat voor het eerst een besmetting is geconstateerd. De pati nt is niet heel ziek, maar uit voorzorg opgenomen in het ziekenhuis in Tilburg. Een terugblik op het begin van de crisis die daarna losbarstte. De Nederlandse overheid gaat er begin 2020 nog van uit dat SARS-CoV-2 de offici le naam van het virus helemaal niet zo gevaarlijk is. Het harde ingrijpen van de Chinese autoriteiten in Wuhan, waar de eerste grote uitbraak was, wordt in het westen vaak in verband gebracht met de autoritaire regeerstijl van de Chinese communistische partij. Niet zo heel besmettelijk Geruststellende woorden overheersen. Zo meldt het RIVM eind januari De ziekte lijkt, met wat er nu bekend is, niet zo heel besmettelijk. Halverwege februari brengt het instituut een kort filmpje naar buiten waarin het uitlegt waarom we ons geen zorgen hoeven te maken over COVID-19. Een dag voordat het nieuws over de eerste pati nt naar buiten komt, benadrukt ook de GGD dat paniek niet nodig is. Dat wordt echter pas maanden later duidelijk.","D66-leider Kaag wil alvast open voor wie gevaccineerd is; Mensen die gevaccineerd zijn, moeten met een vaccinatiebewijs snel meer vrijheden krijgen, vindt D66-lijsttrekker Sigrid Kaag. Zij wil vaccinatie belonen door voor deze groep de coronamaatregelen te versoepelen. Voor anderen die nog wachten op een vaccin, moeten er gratis sneltesten komen. Horeca, onderwijs, winkels en voetbalstadions kunnen zo eerder en veilig open, denkt D66. Je kunt niet van gevaccineerde mensen verwachten dat ze wachten met leven totdat de laatste prik is gezet, aldus Kaag. Zij pleit ervoor om de vrijheid te omarmen die het vaccineren kan brengen, ook als dat tijdelijke maatschappelijke tweedeling met zich meebrengt, sprak ze zaterdagmiddag op het online verkiezingscongres van D66. Met het plan levert D66-lijsttrekker Kaag stevige kritiek op het coronabeleid van het kabinet, waar Kaag zelf als minister deel van uitmaakt. Het kabinet staat zeer afhoudend tegenover het idee van vaccinatiebewijzen, omdat dat betekent dat de overheid verschil gaat maken in de behandeling van mensen die wel en niet gevaccineerd zijn. Volgens Kaag zijn toch nodig. D66 gaat de campagne in door zich flink af te zetten tegen het coronabeleid van het kabinet.",high,2021-02-27 17:37:46,2021-03-01 00:00:00,NU.nl,Trouw,3288528,3285327,"Bruno Bruins, Medische Zorg, Chinese communistische partij, RIVM, GGD","Sigrid Kaag, voetbalstadions, D66, D66","['meldt', 'chinese', 'bruno', 'coronavirus', 'losbarstte']","['gevaccineerd', 'gevaccineerde', 'sneltesten', 'vaccinatiebewijs', 'vaccineren']",3288528_3285327
57,0.70476866,"Een vraag van een slachtoffer van de toeslagenaffaire aan VVD-lijsttrekker en demissionair premier Rutte; Hoe wil Rutte het vertrouwen terugwinnen ? vraagt Kristie. U heeft mij in de steek gelaten. Rutte zegt begrip te hebben voor de situatie waar de ouders in terechtgekomen zijn. Hij noemt het een schandvlek en een debacle. Maar hij vraagt toch om vertrouwen dat hij de problemen gaat oplossen. Jullie zijn geen fraudeurs, dat wil ik hier gezegd hebben, zegt Rutte. Kristie zegt dat zij geen goede rechtshulp heeft gekregen omdat daarop is bezuinigd door het kabinet. Rutte zegt dat die zaken geen verband houden. De ouders is onrecht aangedaan, zegt hij. Jullie krijgen alle advocatenhulp die er nodig is, is zijn toezegging.","Lezersbrieven; EEN JAAR CORONA | Ik hoop dat we het nu niet langer afdoen als griep Een jaar verder... AD 28-2. Terwijl de tranen lopen lees ik dit mooi geschreven, aangrijpende artikel en wens de familie veel sterkte. Ik hoop dat de heren Baudet, Engel en volgelingen, mijns inziens meelopers zonder verstand, dit lezen en deze vreselijke ziekte niet langer afdoen als een griepje. Een belediging aan de nabestaanden. Ineke Pappers-Roodenrijs, Vlaardingen. EEN JAAR CORONA II | Ik denk aan de woorden van directeur Marcel Levi Wat een indrukwekkend overzicht over n jaar corona. En wat fijn om de mening van ethicus Theo Boer te lezen over de beeldvorming over ouderen. Hij zegt terecht Er is een merkwaardige focus dat als je een bepaalde leeftijd hebt, je er goed aan doet om eruit te stappen. Ik ben met hem eens dat het alarmerend is dat dit zo vaak geventileerd wordt en moet denken aan de woorden van de Nederlandse ziekenhuisdirecteur in Londen, Marcel Levi Een beschaafde samenleving kenmerkt zich door solidariteit. Diane Thomson, Strijensas.",high,2021-02-28 22:15:58,2021-03-01 00:00:00,NOS liveblog,Algemeen Dagblad,3287475,3286194,"Kristie, Jullie, Kristie, Jullie","Lezersbrieven, AD, Baudet, Ineke Pappers-Roodenrijs, Marcel Levi, Theo Boer, Marcel Levi, Thomson, Strijensas","['toeslagenaffaire', 'schandvlek', 'kristie', 'fraudeurs', 'rechtshulp']","['strijensas', 'roodenrijs', 'vlaardingen', 'thomson', 'lezersbrieven']",3287475_3286194
70,0.7785797,"Loonkloof is nog altijd niet gedicht; Stond het dichten van de loonkloof in het onderwijs bij de vorige verkiezingen nog in geen enkel partijprogramma, nu noemen zeven partijen het expliciet. Maar grote regeringspartijen als VVD en CDA doen geen beloftes. De salarissen van leraren die lesgeven op een basisschool gelijktrekken met hun collega's die op een middelbare school werken, kost geld. Veel geld. Als het eindsalaris van een leraar op de basisschool hetzelfde wordt als van een collega op de middelbare school, kost dat de overheid een half miljard euro per jaar. Maar ga je lles gelijktrekken zelfde salarisschalen, eindejaarsuitkering en vakantiegeld loopt dat op tot een kleine 1 miljard euro per jaar. D66 en GroenLinks hebben al laten weten 900 miljoen euro per jaar te willen uittrekken om de loonkloof te dichten. Startsalaris Hoewel het startsalaris fors lager ligt, verdiende een fulltime basisschoolleraar in 2020 gemiddeld 4470 euro bruto per maand exclusief eenmalige uitkeringen en een docent op een middelbare school 5330 euro, stelt het ministerie van Onderwijs. Een gat van 860 euro per maand. Als het aan de SP ligt, gebeurt dat dit jaar w l.","Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Algemeen Dagblad,Trouw,3286188,3285316,"Loonkloof, VVD, CDA, D66, GroenLinks, euro, SP","Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","['loonkloof', 'eindsalaris', 'salarissen', 'startsalaris', 'salarisschalen']","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']",3286188_3285316
97,0.6448091,"De uitzending van 27 februari: Verkiezingsspecial: in gesprek met Thierry Baudet / Corona-uitbraak onder kleuters; In gesprek met Thierry Baudet Saai is het nooit, als het over Forum voor Democratie gaat. De partij kwam met donderend geraas het politieke bestel binnen, behaalde een historische overwinning bij de Provinciale Statenverkiezingen in 2019, maar nadien gebeurde er van alles. In onze serie interviews met de 13 belangrijkste lijsttrekkers kijken we hoe de partij ervoor staat, ruim twee weken voor de verkiezingen. Te gast vanavond Thierry Baudet. Corona-uitbraak onder kleuters Maandag beginnen de basisscholen weer in het midden en noorden van het land, met alle speciale coronaregels die daarbij horen. Maar een opvallende uitbraak op een Amsterdamse basisschool, vorige week, maakt schoolleiders en leraren toch bezorgd. We spreken de Onderwijsbond.","kruiswoordtest 5898; Horizontaal 1deze Europeanen boeken massaal mediterrane vakanties na 17 mei, meldde Trouw vorige week 7 5hoeveel spelers blijven er over als een voetbalelftal waarvan de oudste drie 27 zijn, buiten gaat sporten? 4 10voor welk horlogemerk maakt Roger Federer voor miljoenen euro's per jaar reclame? 5 11zeerovers leiders van een partij die zeggen dat ze socialer zijn dan de SP en liberaler dan de VVD 7 12godin van de wraak of, figuurlijk, de wrekende gerechtigheid 7, anagram van nee, miss 14minister aan wie Nederland de Mammoetwet dankt 4 16verbeterde of geactualiseerde versie leenwoord uit het Engels, 6 18couplet, strofe achtregelig, met rijmschema abababcc 6, anagr. Ans zat 20..... et avoir, Franse film uit 2002 over een dorpsschooltje 4 21onderzoek van 't parlement, naar 't toeslagenschandaal bijvoorbeeld 7 24begraafplaats taalkundige die op YouTube zeventiende-eeuws Hollands laat horen 7 25taal van de band Altin G n die de oprichter ervan zelf niet verstaat 5 27leesteken dat in krantenkoppen meestal ontbreekt 4 28hoe oud worden Serena Williams en Roger Federer dit jaar? 7. Connie Breukhoven 5 23(1 prik tegen 4 ziekten afk. Oplossing 5897.",medium,2021-02-27 15:06:47,2021-03-01 00:00:00,Nieuwsuur,Trouw,3287580,3285386,"Thierry Baudet, Thierry, Forum voor Democratie, Provinciale Statenverkiezingen, Thierry Baudet","Roger Federer voor miljoenen, SP, VVD, 18couplet, Altin G, Serena Williams, Roger Federer, Connie Breukhoven","['amsterdamse', 'schoolleiders', 'baudet', 'thierry', 'verkiezingsspecial']","['europeanen', 'geactualiseerde', 'anagr', 'williams', '11zeerovers']",3287580_3285386
106,0.7744018,"Makers van vaccins redden de mens, niet de belegger; Cor de Horde Wie farmaceut zegt, zegt overwinsten althans, in sommige kringen. Gewapend met een betonnen octrooiwetgeving kunnen pillendraaiers vragen wat ze willen voor levensreddende medicijnen, is de teneur van de critici. Inderdaad zijn er voorbeelden die het imago van de branche geen goed hebben gedaan. Het sappigste verhaal is van Martin Shkreli, die in 2015 zijn Turing Pharmaceuticals de productierechten liet kopen van het medicijn Daraprim. Prompt ging de prijs van $ 13,50 naar $ 750 per pil. Deze actie leverde Shkreli inmiddels gedetineerd, trouwens de bijnaam meest gehate man van Amerika op. In deze tijden van pandemie zijn de kritische volgers van deze bedrijfstak opnieuw alert. Er gaan al stemmen op om het patent op de diverse vaccins tegen het coronavirus opzij te schuiven. GroenLinks breekt een lans voor dwanglicenties, waaronder de fabrikanten verplicht zijn hun kennis te delen met concurrenten. De fabrikanten met patenten misbruiken hun positie om extra winst te boeken, is de redenering. GroenLinks is niet de enige die kritisch is. Afgelopen week werden de bazen van de grote vaccinfabrikanten stevig aan de tand gevoeld in het Europees Parlement.","Forum voor Democratie Jacht  op extra stemmen; Waar andere partijen zich nauwelijks op straat wagen toert Forum voor Democratie stad en land af. Die optredens trekken niet alleen de aandacht van kiezers het Openbaar Ministerie kijkt inmiddels of Baudets campagneteam niet op grote schaal de coronaregels geschonden heeft. Zo werden bij een bezoek aan Urk volgens getuigen honderden handen geschud. En dan was er nog de volmacht-rel. In een live-uitzending riep Baudet donderdag zijn kijkers op zoveel mogelijk stemmen per volmacht te regelen. Om de besmettingskansen te verkleinen mogen kiezers dit jaar niet twee maar drie volmachtsstemmen uitbrengen. Een persoon kan vier keer stemmen eigenlijk, als je maar die volmachten kunt regelen, aldus Baudet, en dat was een enorme kans. Ho, zei het ministerie van Binnenlandse Zaken dat is niet de bedoeling en mag helemaal niet. Daar leek het campagneteam van Forum toen al achter gekomen de suggestie om stemmen te regelen was door de partij schielijk uit het filmpje van Baudet geknipt. Aan een ander standpunt houdt Baudet wel openlijk vast de grote kans op verkiezingsfraude. Door anderen, uiteraard.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,NRC Handelsblad,3290618,3285634,"Makers van vaccins redden de mens, Cor de Horde, Martin Shkreli, GroenLinks, GroenLinks, Europees Parlement","Forum voor Democratie, Forum voor Democratie, Ministerie kijkt, Urk, Baudet, Baudet, Baudet, Baudet","['farmaceut', 'dwanglicenties', 'pharmaceuticals', 'vaccinfabrikanten', 'gedetineerd']","['besmettingskansen', 'volmachtsstemmen', 'schielijk', 'volmachten', 'baudets']",3290618_3285634
112,0.79811025,"Precies een jaar sinds de eerste positieve test: zo begon de crisis; Nederland leeft zaterdag al precies een jaar met het coronavirus . Op 27 februari 2020 maakt toenmalig minister Bruno Bruins Medische Zorg bekend dat voor het eerst een besmetting is geconstateerd. De pati nt is niet heel ziek, maar uit voorzorg opgenomen in het ziekenhuis in Tilburg. Een terugblik op het begin van de crisis die daarna losbarstte. De Nederlandse overheid gaat er begin 2020 nog van uit dat SARS-CoV-2 de offici le naam van het virus helemaal niet zo gevaarlijk is. Het harde ingrijpen van de Chinese autoriteiten in Wuhan, waar de eerste grote uitbraak was, wordt in het westen vaak in verband gebracht met de autoritaire regeerstijl van de Chinese communistische partij. Niet zo heel besmettelijk Geruststellende woorden overheersen. Zo meldt het RIVM eind januari De ziekte lijkt, met wat er nu bekend is, niet zo heel besmettelijk. Halverwege februari brengt het instituut een kort filmpje naar buiten waarin het uitlegt waarom we ons geen zorgen hoeven te maken over COVID-19. Een dag voordat het nieuws over de eerste pati nt naar buiten komt, benadrukt ook de GGD dat paniek niet nodig is. Dat wordt echter pas maanden later duidelijk.","Baudet: corona niet bewust wereld in geslingerd; Het coronavirus is niet bewust de wereld in geslingerd . Dat zei Forum voor Democratie-voorman Thierry Baudet in het NOS Radio 1 Journaal, waar hij als eerste lijsttrekker te gast was in de verkiezingsreeks met interviews. Uit een peiling bleek afgelopen weekend dat ruim de helft van FvD-kiezers denkt dat het coronavirus bewust is ontwikkeld om burgers wereldwijd te onderdrukken. 51 procent denkt dat corona een biologisch wapen is dat in een laboratorium is gefabriceerd. Baudet deelt die opvatting dus niet, maar vindt het wel extreem toevallig dat het virus ontstaan is in de buurt van een Chinees laboratorium waar onderzoek werd gedaan naar virussen. Verder ziet Baudet dat corona gebruikt wordt door wereldleiders om maatregelen door te voeren op weg naar een wereldstaat. Het woord complot vindt hij in dat verband niet gek. Het wordt als scheldwoord gebruikt, maar betekent letterlijk dat er onderlinge afspraken gemaakt worden die je niet naar buiten brengt. Ingestonken Online beantwoordde Baudet in een live Q&A de vragen van kijkers. De FvD-leider zegt dat hij niet betoogt dat het virus niet bestaat. Hij noemt corona een stevige griep. Maar hij ontdekte dat corona niet het ebolavirus is.",high,2021-02-27 17:37:46,2021-03-01 10:34:06,NU.nl,NOS nieuws,3288528,3287447,"Bruno Bruins, Medische Zorg, Chinese communistische partij, RIVM, GGD","Baudet, Forum voor Democratie-voorman Thierry Baudet, NOS, Radio 1 Journaal, FvD-kiezers, Baudet, Baudet, Baudet","['meldt', 'chinese', 'bruno', 'coronavirus', 'losbarstte']","['virussen', 'chinees', 'ebolavirus', 'ingestonken', 'coronavirus']",3288528_3287447
119,0.7826505,"Naast groen en digitaal nu ook sociaal; Deze week op de EU-agenda Mathijs Schiffers Sinds de Europese Commissie onder leiding van Ursula von der Leyen in december 2019 van start ging, horen we bijna wekelijks over groene plannen, digitale transformatie en de mate waarin de EU zich kan bedruipen op het wereldtoneel, oftewel strategische autonomie. Het zijn de drie pijlers waar bijna alle initiatieven van Brussel bij onder te schuiven zijn. Volksgezondheid is er door de coronacrisis natuurlijk bij gekomen. En er is er nog eentje en die staat komende week centraal sociaal beleid. Woensdag presenteert Eurocommissaris Nicolas Schmit banen en sociale rechten een actieplan voor de implementatie van de Europese pijler voor sociale rechten die alweer uit 2017 dateert. Die pijler bevat twintig beginselen die lopen van toegang tot onderwijs naar toegang tot sociale woningen, gepaste opvang van daklozen en eerlijk loon. Het actieplan wordt door velen in Brussel gezien als een noodzaak. Er is groeiende ongelijkheid in de samenleving. Door de opmars van de platformwerkers is er steeds minder baanzekerheid en de kosten voor huisvesting rijzen de pan uit en worden voor steeds meer mensen ondraaglijk. Denk anders nog maar eens aan de afloop van het Britse brexitreferendum.","'Opvallend en veelzeggend dat VVD en CDA hier niet staan'; Een aantal partijen heeft op een persconferentie gereageerd op de doorrekeningen van het CPB en de PBL. En op het feit dat CDA en VVD n et op de persconferentie waren. Vooral de progressieve partijen staan hier, zei GroenLinks-leider Klaver. Opvallend en veelzeggend dat VVD en CDA hier niet staan. Hun programma's zijn sociaal slecht en brengen economische rampspoed, stelt PvdA-Kamerlid Nijboer. Dus ik snap wel dat ze hier niet staan. D66 benadrukt dat blijkt dat Nederland sterker en groener uit de crisis komt, als hun partijprogramma wordt uitgevoerd. De crux is dus dat het wel kan, veel ambities hebben en de economie een steun in de rug geven, zei Kamerlid Van Weyenberg. D66 heeft de CO2-reductie op 60 procent staan in 2030. Dat is relatief ambitieus, maar GroenLinks gaat er nog overheen. Wij komen uit op 63 procent, zei Klaver. Dat is belangrijk, want de uitvoering blijft altijd achter, daarom heb je overshoot nodig.",high,2021-03-01 00:00:00,2021-03-01 13:15:24,Het Financieele Dagblad,NOS liveblog,3290586,6290506,"Europese Commissie, Ursula von der Leyen, Eurocommissaris Nicolas Schmit","CDA, CPB, PBL, CDA, CDA, Kamerlid Van Weyenberg, ambitieus, GroenLinks","['brexitreferendum', 'baanzekerheid', 'schiffers', 'europese', 'wereldtoneel']","['rampspoed', 'doorrekeningen', 'reductie', 'overshoot', 'groener']",3290586_6290506
122,0.8175336,"Lezersreacties; Vertaling Als schrijfster kan Marieke Lucas Rijneveld zich als geen ander inleven in een ander. Tot mijn verdriet geeft ze de opdracht terug voor de vertaling van het beroemd geworden gedicht The Hill We Climb Trouw, 27 februari. Uitgever, laat haar de vertaling afmaken, want ze is er al lang mee verbonden in haar hoofd of op papier. En zet een tweede kandidaat naast haar. Geef beide vertalingen naast elkaar uit en de lezer beslist welke gekozen wordt. Laten we nooit iemand buitensluiten om kleur, ras, etniciteit of wat dan ook. Toos Scheffer Tytsjerk Smet? Geen grote kop op de voorpagina nu de rechter in hoger beroep de regering alsnog in het gelijk stelt over de avondklok Trouw, 27 februari. En geen excuses voor eerdere artikelen waarin op basis van de uitspraak van de voorzieningenrechter die Viruswaarheid in het gelijk stelde, werd gesproken van de smet op het blazoen van Rutte. In plaats daarvan een wat weggestopt bericht over het hoger beroep. Frank Hendriks Nijmegen Kaag Dank voor het mooie interview met D66-lijsttrekker Sigrid Kaag Trouw, 27 februari.","De uitzending van 1 maart: Gasvrij duurder dan verwacht / IC's vol in Hoorn / Genomineerden Libris Literatuurprijs / Doorrekening verkiezingsprogramma's; Wat kost woning aardgasvrij maken ? Het gaat er deze campagne nog nauwelijks over, maar Nederland staat aan het begin van een ongekende verbouwing. Alle negen miljoen woningen en gebouwen moeten van het gas af, voor het klimaat. In de wijken waar men er als proef al mee begonnen is, is nu voor het eerst gedetailleerd gekeken naar het kostenplaatje. Die blijken veel hoger dan verwacht en zullen de komende jaren bovendien amper dalen. Nieuwsuur spreekt met de onderzoeker van het nieuwe rapport en ging naar het Friese Garijp waar ze de hoge kosten herkennen. IC's liggen vol in Hoorn Terwijl de roep om verdere versoepelingen hard klinkt, zijn de besmettingen in de veiligheidsregio Noord-Holland Noord juist heel erg toegenomen de afgelopen dagen, met name in Hoorn. In de eerste golf werd die regio niet hard getroffen, maar er werden gisteren 133 mensen positief getest. Minister de Jonge riep vandaag lijsttrekkers dan ook op behoedzaam te zijn met uitspraken over versoepelingen. Hij verwees daarbij naar de kop van Noord-Holland. We gaan langs in het Dijklander ziekenhuis en we spreken burgemeester Jan Nieuwenburg.",high,2021-03-01 00:00:00,2021-03-01 12:06:47,Trouw,Nieuwsuur,3285370,3287485,"Lucas Rijneveld, Scheffer Tytsjerk Smet, Frank Hendriks, Sigrid Kaag Trouw","Friese Garijp, Noord-Holland Noord, Jan Nieuwenburg","['tytsjerk', 'scheffer', 'lezersreacties', 'alsnog', 'viruswaarheid']","['nieuwenburg', 'gasvrij', 'besmettingen', 'aardgasvrij', 'versoepelingen']",3285370_3287485
131,0.7749859,"Rutte tegen Klaver: U bent aan het overtoepen! Klaver: 'Er wordt hier gelogen'; VVD-leider Rutte en GroenLinks-leider Klaver krijgen het stevig aan de stok over kernenergie en het klimaat. Rutte waarschuwt Klaver dat hij met al zijn klimaatwensen het draagvlak onder de bevolking verkleint. In Amsterdam is er bijvoorbeeld stevige discussie over de aanleg van windmolens. Er is ook onder GroenLinks-leden veel kritiek op het plan. U bent aan het overtoepen, waarschuwt Rutte. Het is tegen het zere been van Klaver. Hij vindt het slecht dat de VVD de klimaatplannen van de partij niet laat doorrekenen door het Planbureau voor de Leefomgeving. En hij vindt dat zowel Rutte als Hoekstra liegt door te doen alsof kernenergie helpt bij het bereiken van de klimaatdoelen van Parijs. Het bouwen van een kerncentrale duurt zeker wel dertig jaar en binnen tien jaar moet er iets gedaan worden aan het tegengaan van de opwarming van de aarde. Er wordt gelogen door twee leden van het kabinet, stelt Klaver. Rutte en Hoekstra zijn het daar niet mee eens.","Het geld van de gemeenten raakt op, en dat gaat iedereen merken; Gemeentefinanci n Slechts twaalf gemeenten staan onder curatele, maar uit 336 toezichtbrieven blijkt dat vrijwel alle gemeenten financi le problemen hebben.,Wat is het nieuws? 120 van de 355 gemeenten hebben geen sluitende begroting voor 2021 kunnen maken. Vrijwel alle andere gemeenten hebben moeten bezuinigen of de lasten moeten verhogen om tot 2024 sluitende begrotingen te maken. 12 gemeenten staan onder curatele van de provincie. Maar dat cijfer verhult volgens provinciale en gemeentelijke politici de problemen van veel lokale overheden. Provincies waarschuwen dat gemeenten extra kosten moeten maken vanwege de coronacrisis. Ook voor nieuw beleid zoals het klimaatakkoord hebben gemeenten geld nodig. Lees het volledige nieuwsbericht Derde van gemeenten in geldnood Speeltuinen, bibliotheken, zwembaden, de muziekschool en het enige theater in de regio. Johan Hamster, wethouder Financi n ChristenUnie van Stadskanaal, bezuinigt al tien jaar op alles wat los en vast zit. Ook over de eigen ambtenaren en het welzijnswerk is de kaasschaaf gegaan, vertelt hij. Alleen door de lasten voor inwoners te verzwaren, lukte het de gemeente voorzieningen open te houden. Tot dit jaar. Het ging de gemeenteraad te ver.",high,2021-02-28 22:30:43,2021-03-01 00:00:00,NOS liveblog,NRC Handelsblad,3287472,3285637,Planbureau voor de Leefomgeving,"Gemeentefinanci n Slechts, Johan Hamster, Financi","['klimaatdoelen', 'verkleint', 'klimaatwensen', 'leefomgeving', 'amsterdam']","['welzijnswerk', 'bezuinigt', '2024', 'zit', 'verhult']",3287472_3285637
